repo,owner,name,treatment,repetition,order_index,timestamp,status_code,ok,elapsed_ms,size_bytes,error
x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,system-prompts-and-models-of-ai-tools,GraphQL,5,77,2026-06-26T15:31:19.843055+00:00,200,True,754.3955999999525,718,
f/prompts.chat,f,prompts.chat,REST,1,78,2026-06-26T15:31:20.947807+00:00,200,True,671.3300999999774,5347,
2dust/v2rayN,2dust,v2rayN,REST,4,79,2026-06-26T15:31:22.014897+00:00,200,True,640.3976999999941,5175,
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,REST,3,80,2026-06-26T15:31:22.952723+00:00,200,True,708.6285000000316,7038,
iptv-org/iptv,iptv-org,iptv,GraphQL,2,81,2026-06-26T15:31:24.028209+00:00,200,True,732.1821999998974,428,
ossu/computer-science,ossu,computer-science,GraphQL,1,82,2026-06-26T15:31:25.189670+00:00,200,True,696.3786999999684,421,
jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,REST,3,83,2026-06-26T15:31:26.338760+00:00,200,True,651.7625000001317,5666,
EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,REST,5,84,2026-06-26T15:31:27.307976+00:00,200,True,726.7580999996426,7504,
microsoft/markitdown,microsoft,markitdown,GraphQL,5,85,2026-06-26T15:31:28.245684+00:00,200,True,681.9856000001892,424,
vuejs/vue,vuejs,vue,GraphQL,3,86,2026-06-26T15:31:29.222170+00:00,200,True,743.1533999997555,426,
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,GitHub-Chinese-Top-Charts,GraphQL,3,87,2026-06-26T15:31:30.118210+00:00,200,True,625.1211000003423,503,
langchain-ai/langchain,langchain-ai,langchain,REST,2,88,2026-06-26T15:31:31.057727+00:00,200,True,681.4973999998983,6757,
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,REST,2,89,2026-06-26T15:31:31.938138+00:00,200,True,664.6848999998838,7536,
sindresorhus/awesome,sindresorhus,awesome,REST,5,90,2026-06-26T15:31:32.963181+00:00,200,True,658.5493000002316,5517,
denoland/deno,denoland,deno,REST,1,91,2026-06-26T15:31:33.889667+00:00,200,True,680.0306000000091,6139,
mrdoob/three.js,mrdoob,three.js,GraphQL,3,92,2026-06-26T15:31:35.151995+00:00,200,True,776.470899999822,379,
kubernetes/kubernetes,kubernetes,kubernetes,REST,1,93,2026-06-26T15:31:36.199561+00:00,200,True,720.7084000001487,6578,
DigitalPlatDev/FreeDomain,DigitalPlatDev,FreeDomain,REST,3,94,2026-06-26T15:31:37.503689+00:00,200,True,891.3250999999036,6844,
jwasham/coding-interview-university,jwasham,coding-interview-university,GraphQL,5,95,2026-06-26T15:31:38.728568+00:00,200,True,1003.0885999999555,476,
nodejs/node,nodejs,node,REST,2,96,2026-06-26T15:31:39.876974+00:00,200,True,704.1498999997202,6015,
ollama/ollama,ollama,ollama,REST,5,97,2026-06-26T15:31:41.052779+00:00,200,True,692.0944000003146,6179,
ripienaar/free-for-dev,ripienaar,free-for-dev,GraphQL,3,98,2026-06-26T15:31:42.179105+00:00,200,True,651.7243999996936,436,
msitarzewski/agency-agents,msitarzewski,agency-agents,GraphQL,2,99,2026-06-26T15:31:43.185569+00:00,200,True,683.3031999999548,585,
papers-we-love/papers-we-love,papers-we-love,papers-we-love,GraphQL,1,100,2026-06-26T15:31:44.173789+00:00,200,True,707.6151000001119,409,
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,GraphQL,5,101,2026-06-26T15:31:45.345761+00:00,200,True,747.7798999998413,458,
affaan-m/ECC,affaan-m,ECC,GraphQL,3,102,2026-06-26T15:31:46.504941+00:00,200,True,677.0772999998371,525,
practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,GraphQL,3,103,2026-06-26T15:31:47.504667+00:00,200,True,696.2361999999302,409,
ytdl-org/youtube-dl,ytdl-org,youtube-dl,GraphQL,5,104,2026-06-26T15:31:48.693970+00:00,200,True,707.8050000000076,441,
d3/d3,d3,d3,GraphQL,2,105,2026-06-26T15:31:49.799605+00:00,200,True,673.3824999996614,430,
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,REST,2,106,2026-06-26T15:31:50.935571+00:00,200,True,680.7278999999653,6639,
microsoft/TypeScript,microsoft,TypeScript,GraphQL,3,107,2026-06-26T15:31:51.906622+00:00,200,True,751.93390000004,451,
microsoft/vscode,microsoft,vscode,GraphQL,2,108,2026-06-26T15:31:52.921509+00:00,200,True,708.9393999999629,379,
ossu/computer-science,ossu,computer-science,REST,1,109,2026-06-26T15:31:53.830920+00:00,200,True,673.569900000075,6432,
langgenius/dify,langgenius,dify,GraphQL,5,110,2026-06-26T15:31:54.893516+00:00,200,True,707.1436999999605,410,
twbs/bootstrap,twbs,bootstrap,GraphQL,1,111,2026-06-26T15:31:55.948710+00:00,200,True,732.397199999923,463,
godotengine/godot,godotengine,godot,REST,3,112,2026-06-26T15:31:57.002626+00:00,200,True,695.9517000000233,6457,
d3/d3,d3,d3,REST,2,113,2026-06-26T15:31:58.120625+00:00,200,True,705.8254000003217,5705,
anomalyco/opencode,anomalyco,opencode,GraphQL,5,114,2026-06-26T15:31:59.275275+00:00,200,True,686.8144000000029,389,
trekhleb/javascript-algorithms,trekhleb,javascript-algorithms,REST,3,115,2026-06-26T15:32:00.370433+00:00,200,True,619.4462999997086,6025,
996icu/996.ICU,996icu,996.ICU,REST,2,116,2026-06-26T15:32:01.242606+00:00,200,True,633.3017000001746,5130,
garrytan/gstack,garrytan,gstack,REST,3,117,2026-06-26T15:32:02.328240+00:00,200,True,603.709400000298,5232,
f/prompts.chat,f,prompts.chat,GraphQL,5,118,2026-06-26T15:32:03.396475+00:00,200,True,631.6458999999668,512,
CyC2018/CS-Notes,CyC2018,CS-Notes,GraphQL,4,119,2026-06-26T15:32:04.449728+00:00,200,True,647.5070000001324,432,
EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,GraphQL,5,120,2026-06-26T15:32:05.787278+00:00,200,True,862.8092999997534,453,
langflow-ai/langflow,langflow-ai,langflow,REST,2,121,2026-06-26T15:32:06.704567+00:00,200,True,657.8094000001329,6587,
jwasham/coding-interview-university,jwasham,coding-interview-university,GraphQL,2,122,2026-06-26T15:32:07.780991+00:00,200,True,682.6885000000402,476,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,GraphQL,5,123,2026-06-26T15:32:08.691289+00:00,200,True,663.8919000001806,428,
ggml-org/llama.cpp,ggml-org,llama.cpp,GraphQL,5,124,2026-06-26T15:32:09.610313+00:00,200,True,693.6850000001868,377,
TheAlgorithms/Python,TheAlgorithms,Python,REST,3,125,2026-06-26T15:32:10.747563+00:00,200,True,655.8890999999676,6733,
firecrawl/firecrawl,firecrawl,firecrawl,GraphQL,3,126,2026-06-26T15:32:11.620263+00:00,200,True,667.493899999954,453,
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,GitHub-Chinese-Top-Charts,GraphQL,5,127,2026-06-26T15:32:12.719383+00:00,200,True,722.2632999996677,503,
